team_id,season,team_name,team_mascot,seed,total_wins,total_losses,total_games_played,adj_win_perc,str_of_sched,rpi,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
9b166a3f-e64b-4825-bb6b-92c6f0418263,2017,Arizona,Wildcats,S4,27,8,35,0.77070000000000005,0.55149999999999999,0.60629999999999995,7100,1009,2003,1361,772,7100,0.56699999999999995,237,642,0.36899999999999999,92,563,741,0.76000000000000001,316,892,1208,531,427,1.24,173,158,608,11,2818,247,0,441,414,0,13,1176,3289,2329.04,0.60499999999999998,7.0599999999999996,12.6,11.83,202.90000000000001,80.5,9.0299999999999994,25.489999999999998,34.509999999999998,15.199999999999999,4.9399999999999995,4.5099999999999998,12.199999999999999,17.370000000000001,0,2.6299999999999999,28.829999999999998,57.229999999999997,6.7699999999999996,18.34,16.09,21.170000000000002,22.059999999999999,38.890000000000001,33.600000000000001,93.969999999999999,66.540000000000006
77a69fb0-1355-4342-ac09-b4cc7949d95e,2017,Murray State,Racers,E12,24,6,32,0.80559999999999998,0.4869,0.56659999999999999,6400,870,1803,1084,599,6400,0.55300000000000005,271,719,0.377,19,504,687,0.73399999999999999,296,798,1094,471,384,1.23,216,104,559,9,2515,256,0,459,370,0,1,1052,2900,2105.2800000000002,0.59699999999999998,8,14.34,11.56,200,78.599999999999994,9.25,24.940000000000001,34.189999999999998,14.699999999999999,6.75,3.25,12,17.469999999999999,0,0.58999999999999997,27.190000000000001,56.340000000000003,8.4700000000000006,22.469999999999999,15.75,21.469999999999999,18.719999999999999,33.880000000000003,32.880000000000003,90.629999999999995,65.790000000000006
61a3908a-7492-4b6f-809e-12c61976bb0a,2017,Loyola (IL),Ramblers,S11,31,6,38,0.85960000000000003,0.53520000000000001,0.61629999999999996,7600,995,1963,1263,718,7600,0.56799999999999995,277,700,0.39600000000000002,63,454,626,0.72499999999999998,196,928,1124,594,472,1.26,241,90,528,0,2721,218,0,562,243,0,0,1252,3158,2238.4400000000001,0.60799999999999998,5.7400000000000002,14.789999999999999,6.3899999999999997,200,71.599999999999994,5.1600000000000001,24.420000000000002,29.579999999999998,15.6,6.3399999999999999,2.3700000000000001,12.42,13.890000000000001,0,1.6600000000000001,26.18,51.659999999999997,7.29,18.420000000000002,11.949999999999999,16.469999999999999,18.890000000000001,33.240000000000002,32.950000000000003,83.109999999999999,58.909999999999997
6ed15092-2670-450a-99c2-61d861e87644,2017,Texas,Longhorns,S10,19,15,34,0.52739999999999998,0.56989999999999996,0.55920000000000003,7050,882,2010,1244,637,7050,0.51200000000000001,245,766,0.32000000000000001,98,441,663,0.66500000000000004,318,819,1137,395,400,0.98999999999999999,210,167,549,3,2450,253,1,462,356,0,11,1116,2609,2301.7199999999998,0.53200000000000003,7.4400000000000004,13.59,10.470000000000001,207.40000000000001,72.099999999999994,9.3499999999999996,24.09,33.439999999999998,11.6,6.1799999999999997,4.9100000000000001,11.76,16.149999999999999,0.029999999999999999,2.8799999999999999,25.940000000000001,59.119999999999997,7.21,22.530000000000001,12.970000000000001,19.5,18.739999999999998,36.590000000000003,32.82,76.739999999999995,67.700000000000003
b2fda957-e15c-4fb2-8a13-6e58496f561e,2017,Oklahoma,Sooners,M10,18,14,32,0.5484,0.55969999999999998,0.55689999999999995,6475,954,2062,1226,654,6475,0.53300000000000003,300,836,0.35899999999999999,136,510,684,0.746,296,849,1145,479,429,1.1200000000000001,208,151,552,3,2718,281,2,494,334,0,7,1182,2990,2362.96,0.57499999999999996,8.7799999999999994,15.44,10.44,202.30000000000001,84.900000000000006,9.25,26.530000000000001,35.780000000000001,15,6.5,4.7199999999999998,13.41,17.25,0.059999999999999998,4.25,29.809999999999999,64.439999999999998,9.3800000000000008,26.129999999999999,15.94,21.379999999999999,20.440000000000001,38.310000000000002,36.939999999999998,93.439999999999998,73.840000000000003
d203f38a-a166-4258-bca2-e161b591ecfb,2017,Kansas State,Wildcats,S9,25,12,37,0.65269999999999995,0.53120000000000001,0.56159999999999999,7425,937,2024,1279,683,7425,0.53400000000000003,254,745,0.34100000000000003,76,502,684,0.73399999999999999,259,785,1044,510,423,1.21,294,110,684,3,2630,265,0,639,310,0,12,1096,2896,2324.96,0.56599999999999995,7.1600000000000001,17.27,8.3800000000000008,200.69999999999999,71.099999999999994,7,21.219999999999999,28.219999999999999,13.800000000000001,7.9500000000000002,2.9699999999999998,11.43,18.489999999999998,0,2.0499999999999998,25.32,54.700000000000003,6.8600000000000003,20.140000000000001,13.57,18.489999999999998,18.460000000000001,34.57,29.620000000000001,78.269999999999996,62.840000000000003
f770d3a2-221c-49ce-9c7a-680f7417fe9e,2017,West Virginia,Mountaineers,E5,26,11,37,0.68710000000000004,0.55500000000000005,0.58799999999999997,7425,1036,2374,1463,714,7425,0.48799999999999999,322,911,0.35299999999999998,144,570,744,0.76600000000000001,451,820,1271,561,421,1.3300000000000001,301,192,800,9,2964,233,4,743,570,0,13,1036,3356,2701.3600000000001,0.54900000000000004,6.2999999999999998,20.079999999999998,15.41,200.69999999999999,80.099999999999994,12.19,22.16,34.350000000000001,15.199999999999999,8.1400000000000006,5.1900000000000004,11.380000000000001,21.620000000000001,0.11,3.8900000000000001,28,64.159999999999997,8.6999999999999993,24.620000000000001,15.41,20.109999999999999,19.300000000000001,39.539999999999999,28,90.700000000000003,73.010000000000005
f7fcbb6e-4a55-41ea-ba21-f763ed914467,2017,TCU,Horned Frogs,M6,21,12,33,0.60899999999999999,0.57650000000000001,0.5847,6725,979,1973,1279,705,6725,0.55100000000000005,274,694,0.39500000000000002,128,476,675,0.70499999999999996,313,786,1099,615,420,1.46,214,119,558,8,2708,243,1,479,391,1,12,1258,3142,2270,0.59599999999999997,7.3600000000000003,14.52,11.85,203.80000000000001,82.099999999999994,9.4800000000000004,23.82,33.299999999999997,18.600000000000001,6.4800000000000004,3.6099999999999999,12.73,16.91,0.029999999999999999,3.8799999999999999,29.670000000000002,59.789999999999999,8.3000000000000007,21.030000000000001,14.42,20.449999999999999,21.359999999999999,38.759999999999998,38.119999999999997,95.209999999999994,68.790000000000006
f8c705b7-87d3-411a-9c8b-5124daab0469,2017,Texas Tech,Red Raiders,E3,27,10,37,0.73150000000000004,0.55520000000000003,0.59930000000000005,7450,964,2097,1394,712,7450,0.51100000000000001,252,703,0.35799999999999998,129,579,823,0.70399999999999996,351,864,1215,510,456,1.1200000000000001,262,153,669,2,2759,216,0,664,411,0,8,1140,3066,2459.1199999999999,0.56100000000000005,5.8399999999999999,17.949999999999999,11.109999999999999,201.40000000000001,74.599999999999994,9.4900000000000002,23.350000000000001,32.840000000000003,13.800000000000001,7.0800000000000001,4.1399999999999997,12.32,18.079999999999998,0,3.4900000000000002,26.050000000000001,56.68,6.8100000000000005,19,15.65,22.239999999999998,19.239999999999998,37.68,30.809999999999999,82.859999999999999,66.459999999999994
fae4855b-1b64-4b40-a632-9ed345e1e952,2017,Kansas,Jayhawks,M1,31,8,39,0.77049999999999996,0.61080000000000001,0.65069999999999995,7825,1165,2366,1392,774,7825,0.55600000000000005,391,974,0.40100000000000002,138,453,640,0.70799999999999996,334,953,1287,649,457,1.4199999999999999,254,160,598,4,3174,382,0,596,407,0,11,1380,3679,2647.5999999999999,0.59899999999999998,9.7899999999999991,15.279999999999999,10.44,200.59999999999999,81.400000000000006,8.5600000000000005,24.440000000000001,33,16.600000000000001,6.5099999999999998,4.0999999999999996,11.720000000000001,15.33,0,3.54,29.870000000000001,60.670000000000002,10.029999999999999,24.969999999999999,11.619999999999999,16.41,19.850000000000001,35.689999999999998,35.380000000000003,94.329999999999998,67.890000000000001
94ea835b-8ce9-4de2-a5b1-971548fea974,2017,Georgia State,Panthers,S15,22,11,35,0.69179999999999997,0.4647,0.52149999999999996,7075,937,2033,1194,614,7075,0.51400000000000001,323,839,0.38500000000000001,10,417,615,0.67800000000000005,260,810,1070,455,395,1.1499999999999999,256,160,639,7,2614,240,0,575,326,0,3,1032,2866,2303.5999999999999,0.56699999999999995,6.8600000000000003,16.43,9.3100000000000005,202.09999999999999,74.700000000000003,7.4299999999999997,23.140000000000001,30.57,13,7.3099999999999996,4.5700000000000003,11.289999999999999,18.260000000000002,0,0.28999999999999998,26.77,58.090000000000003,9.2300000000000004,23.969999999999999,11.91,17.57,17.539999999999999,34.109999999999999,29.489999999999998,81.890000000000001,65.819999999999993
e3848467-66c0-41e5-8283-02e3586d8601,2017,Montana,Grizzlies,W14,24,8,34,0.80000000000000004,0.48320000000000002,0.56240000000000001,6900,944,2021,1472,758,6900,0.51500000000000001,186,549,0.33900000000000002,32,551,780,0.70599999999999996,343,807,1150,428,422,1.01,263,114,717,8,2625,194,1,607,437,0,2,1204,2852,2364.1999999999998,0.55500000000000005,5.71,17.850000000000001,12.85,202.90000000000001,77.200000000000003,10.09,23.739999999999998,33.82,12.6,7.7400000000000002,3.3500000000000001,12.41,21.09,0.029999999999999999,0.93999999999999995,27.760000000000002,59.439999999999998,5.4699999999999998,16.149999999999999,16.210000000000001,22.940000000000001,22.289999999999999,43.289999999999999,35.409999999999997,83.879999999999995,69.540000000000006
1f99a164-d593-4d81-85d5-0d7889d6f486,2017,Houston,Cougars,W6,27,8,35,0.79310000000000003,0.52849999999999997,0.59460000000000002,7000,952,2066,1298,655,7000,0.505,297,768,0.38700000000000001,71,484,674,0.71799999999999997,352,890,1242,505,418,1.21,218,106,738,4,2685,216,2,549,407,1,14,965,3034,2362.5599999999999,0.56799999999999995,6.1699999999999999,15.69,11.630000000000001,200,76.700000000000003,10.06,25.43,35.490000000000002,14.4,6.2300000000000004,3.0299999999999998,11.94,21.09,0.059999999999999998,2.0299999999999998,27.199999999999999,59.030000000000001,8.4900000000000002,21.940000000000001,13.83,19.260000000000002,18.710000000000001,37.090000000000003,27.57,86.689999999999998,67.5
a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,2017,Cincinnati,Bearcats,S2,31,5,36,0.86140000000000005,0.54149999999999998,0.62150000000000005,7200,944,2100,1358,682,7200,0.502,262,742,0.35299999999999998,105,523,756,0.69199999999999995,424,865,1289,570,404,1.4099999999999999,256,194,564,7,2673,272,0,659,536,0,2,1119,3189,2432.6399999999999,0.54900000000000004,7.5600000000000005,18.309999999999999,14.890000000000001,200,74.299999999999997,11.779999999999999,24.030000000000001,35.810000000000002,15.800000000000001,7.1100000000000003,5.3899999999999997,11.220000000000001,15.67,0,2.9199999999999999,26.219999999999999,58.329999999999998,7.2800000000000002,20.609999999999999,14.529999999999999,21,18.940000000000001,37.719999999999999,31.079999999999998,88.579999999999998,67.569999999999993
f38b58de-3273-4723-a78b-2f918e9aa2d5,2017,Wichita State,Shockers,E4,25,8,33,0.73580000000000001,0.54730000000000001,0.59440000000000004,6650,957,2009,1222,657,6650,0.53800000000000003,300,787,0.38100000000000001,111,517,700,0.73899999999999999,341,878,1219,610,385,1.5800000000000001,154,127,582,3,2731,147,2,450,456,0,5,1064,3221,2317,0.58899999999999997,4.4500000000000002,13.640000000000001,13.82,201.5,82.799999999999997,10.33,26.609999999999999,36.939999999999998,18.5,4.6699999999999999,3.8500000000000001,11.67,17.640000000000001,0.059999999999999998,3.3599999999999999,29,60.880000000000003,9.0899999999999999,23.850000000000001,15.67,21.210000000000001,19.91,37.030000000000001,32.240000000000002,97.609999999999999,70.209999999999994
612f7f66-1de1-4d42-b842-9a508daab911,2017,UNC Greensboro,Spartans,W13,24,8,35,0.78259999999999996,0.48330000000000001,0.55810000000000004,7150,924,2076,1137,593,7150,0.52200000000000002,331,939,0.35299999999999998,11,383,549,0.69799999999999995,377,827,1204,487,480,1.01,267,132,650,2,2562,268,0,611,406,0,1,1027,2854,2317.5599999999999,0.55300000000000005,7.6600000000000001,17.460000000000001,11.6,204.30000000000001,73.200000000000003,10.77,23.629999999999999,34.399999999999999,13.9,7.6299999999999999,3.77,13.710000000000001,18.57,0,0.31,26.399999999999999,59.310000000000002,9.4600000000000009,26.829999999999998,10.94,15.69,16.940000000000001,32.490000000000002,29.34,81.540000000000006,66.219999999999999
6ef40534-5fad-4755-84de-7dcbd645d1f0,2017,South Dakota State,Jackrabbits,W12,24,7,35,0.8085,0.50249999999999995,0.57899999999999996,7075,1003,2146,1219,629,7075,0.51600000000000001,374,927,0.40300000000000002,34,578,759,0.76200000000000001,265,998,1263,467,353,1.3200000000000001,172,80,562,1,2958,148,0,429,372,0,2,1066,3263,2479.96,0.59599999999999997,4.2300000000000004,12.26,10.630000000000001,202.09999999999999,84.5,7.5700000000000003,28.510000000000002,36.090000000000003,13.300000000000001,4.9100000000000001,2.29,10.09,16.059999999999999,0,0.96999999999999997,28.66,61.310000000000002,10.69,26.489999999999998,16.510000000000002,21.690000000000001,17.969999999999999,34.829999999999998,30.460000000000001,93.230000000000004,70.859999999999999
c009914b-3303-4dee-b915-978aa48a31d0,2017,Cal State Fullerton,Titans,E15,18,12,32,0.625,0.48359999999999997,0.51890000000000003,6450,804,1721,1221,637,6450,0.52200000000000002,167,500,0.33400000000000002,38,543,745,0.72899999999999998,226,797,1023,403,455,0.89000000000000001,201,106,578,5,2318,185,1,439,268,0,1,1098,2477,2048.8000000000002,0.56599999999999995,5.7800000000000002,13.720000000000001,8.3800000000000008,201.59999999999999,72.400000000000006,7.0599999999999996,24.91,31.969999999999999,12.6,6.2800000000000002,3.3100000000000001,14.220000000000001,18.059999999999999,0.029999999999999999,1.1899999999999999,25.129999999999999,53.780000000000001,5.2199999999999998,15.630000000000001,16.969999999999999,23.280000000000001,19.91,38.159999999999997,34.310000000000002,77.409999999999997,64.030000000000001
58d8baa3-7624-4b21-a47f-a23df2bf8859,2017,Marshall,Thundering Herd,E13,24,11,36,0.70750000000000002,0.48949999999999999,0.54400000000000004,7275,1042,2233,1220,680,7275,0.55700000000000005,362,1013,0.35699999999999998,13,571,747,0.76400000000000001,242,934,1176,614,476,1.29,252,207,617,13,3017,207,0,573,344,0,3,1182,3423,2561.6799999999998,0.58899999999999997,5.75,15.92,9.5600000000000005,202.09999999999999,83.799999999999997,6.7199999999999998,25.940000000000001,32.670000000000002,17.100000000000001,7,5.75,13.220000000000001,17.140000000000001,0,0.35999999999999999,28.940000000000001,62.030000000000001,10.06,28.140000000000001,15.859999999999999,20.75,18.890000000000001,33.890000000000001,32.829999999999998,95.079999999999998,71.159999999999997
5016fe1a-9571-4d10-bf5b-b9c1b496bd57,2017,New Mexico State,Aggies,M12,25,6,34,0.82069999999999999,0.51300000000000001,0.58989999999999998,6825,963,2104,1331,705,6825,0.53000000000000003,258,773,0.33400000000000002,33,388,603,0.64300000000000002,396,934,1330,482,429,1.1200000000000001,189,103,604,7,2572,168,0,539,404,0,1,1220,2891,2369.3200000000002,0.54300000000000004,4.9399999999999995,15.85,11.880000000000001,200.69999999999999,75.599999999999994,11.65,27.469999999999999,39.119999999999997,14.199999999999999,5.5600000000000005,3.0299999999999998,12.619999999999999,17.760000000000002,0,0.96999999999999997,28.32,61.880000000000003,7.5899999999999999,22.739999999999998,11.41,17.739999999999998,20.739999999999998,39.149999999999999,35.880000000000003,85.030000000000001,69.689999999999998
