team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,30,6025.0,787,1682,899,491,6025.0,0.546,296,783,0.378,117,419,596,0.703,251,706,957,433,393,1.1,141,76,532,4,2289,326,4,371,348,0,5,892,2431,1944.24,0.589,10.87,12.37,11.6,200.8,76.3,8.37,23.53,31.9,14.4,4.7,2.53,13.1,17.73,0.13,3.9,26.23,56.07,9.87,26.1,13.97,19.87,16.37,29.97,29.73,81.03,64.81
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,31,6225.0,779,1739,1046,543,6225.0,0.519,236,693,0.341,84,376,526,0.715,255,720,975,418,367,1.14,236,125,547,1,2170,300,4,453,331,0,10,916,2447,1970.44,0.551,9.68,14.61,10.68,200.8,70.0,8.23,23.23,31.45,13.5,7.61,4.03,11.84,17.65,0.13,2.71,25.13,56.1,7.61,22.35,12.13,16.97,17.52,33.74,29.55,78.94,63.56
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,31,6200.0,817,1809,1013,523,6200.0,0.516,294,796,0.369,78,414,547,0.757,235,731,966,463,419,1.11,164,88,541,4,2342,371,2,438,298,0,11,836,2479,2049.68,0.571,11.97,14.13,9.61,200.0,75.5,7.58,23.58,31.16,14.9,5.29,2.84,13.52,17.45,0.06,2.52,26.35,58.35,9.48,25.68,13.35,17.65,16.87,32.68,26.97,79.97,66.12
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,31,6300.0,881,1919,1233,619,6300.0,0.502,262,686,0.382,89,341,532,0.641,265,769,1034,509,367,1.39,186,106,557,9,2365,307,6,439,308,0,16,1000,2604,2153.08,0.549,9.9,14.16,9.94,203.2,76.3,8.55,24.81,33.35,16.4,6.0,3.42,11.84,17.97,0.19,2.87,28.42,61.9,8.45,22.13,11.0,17.16,19.97,39.77,32.26,84.0,69.45
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,30,6050.0,782,1675,1060,582,6050.0,0.549,200,615,0.325,81,453,612,0.74,269,706,975,460,377,1.22,179,160,514,0,2217,282,2,398,328,0,5,1050,2562,1944.28,0.57,9.4,13.27,10.93,201.7,73.9,8.97,23.53,32.5,15.3,5.97,5.33,12.57,17.13,0.07,2.7,26.07,55.83,6.67,20.5,15.1,20.4,19.4,35.33,35.0,85.4,64.81
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,30,6025.0,781,1706,1079,581,6025.0,0.538,200,627,0.319,97,421,623,0.676,249,758,1007,382,452,0.85,179,139,564,3,2183,281,2,429,305,0,8,1090,2311,1980.12,0.551,9.37,14.3,10.17,200.8,72.8,8.3,25.27,33.57,12.7,5.97,4.63,15.07,18.8,0.07,3.23,26.03,56.87,6.67,20.9,14.03,20.77,19.37,35.97,36.33,77.03,66.0
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,31,6250.0,771,1804,1127,541,6250.0,0.48,230,677,0.34,118,432,601,0.719,258,714,972,386,358,1.08,162,67,578,4,2204,328,1,427,283,0,15,936,2231,2068.44,0.533,10.58,13.77,9.13,201.6,71.1,8.32,23.03,31.35,12.5,5.23,2.16,11.55,18.65,0.03,3.81,24.87,58.19,7.42,21.84,13.94,19.39,17.45,36.35,30.19,71.97,66.72
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,30,6025.0,793,1717,1123,601,6025.0,0.535,192,594,0.323,97,471,635,0.742,242,775,1017,406,392,1.04,158,92,520,0,2249,361,2,399,257,0,10,999,2442,1996.4,0.563,12.03,13.3,8.57,200.8,75.0,8.07,25.83,33.9,13.5,5.27,3.07,13.07,17.33,0.07,3.23,26.43,57.23,6.4,19.8,15.7,21.17,20.03,37.43,33.3,81.4,66.55
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,30,6025.0,723,1688,1118,524,6025.0,0.469,199,570,0.349,98,425,588,0.723,205,599,804,328,339,0.97,215,93,560,2,2070,288,3,412,227,0,13,858,2043,1946.72,0.532,9.6,13.73,7.57,200.8,69.0,6.83,19.97,26.8,10.9,7.17,3.1,11.3,18.67,0.1,3.27,24.1,56.27,6.63,19.0,14.17,19.6,17.47,37.27,28.6,68.1,64.89
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,30,6075.0,799,1787,1141,581,6075.0,0.509,218,646,0.337,99,516,772,0.668,304,781,1085,411,410,1.0,188,94,601,11,2332,282,6,439,340,0,16,978,2456,2126.68,0.548,9.4,14.63,11.33,202.5,77.7,10.13,26.03,36.17,13.7,6.27,3.13,13.67,20.03,0.2,3.3,26.63,59.57,7.27,21.53,17.2,25.73,19.37,38.03,32.6,81.87,70.89
